epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7073,1.33106,1.29334,1.13771,0.83272,0.87244,0.88007,0.63074,1.02413,1.02706,1.00431,0.00012,0.00012,0.00012
2,21.0073,1.35703,1.18052,1.08183,0.81004,0.92784,0.89017,0.64806,0.98493,0.97657,0.97943,0.000257855,0.000257855,0.000257855
3,23.3251,1.20804,1.09127,1.04021,0.84147,0.98499,0.92808,0.68888,0.98039,0.8937,0.97252,0.0003934,0.0003934,0.0003934
4,25.5823,1.17449,0.9823,1.02675,0.8599,0.94845,0.95214,0.68444,1.05656,0.92167,0.9699,0.000526635,0.000526635,0.000526635
5,27.8598,1.11855,0.92346,0.98793,0.87489,0.95876,0.95973,0.65348,1.10382,0.92693,0.98422,0.00065756,0.00065756,0.00065756
6,30.0805,1.07702,0.8869,0.94857,0.90481,0.97998,0.96777,0.69577,1.01083,0.85399,0.95493,0.000786175,0.000786175,0.000786175
7,32.1918,1.05229,0.87887,0.9683,0.93087,0.97173,0.96504,0.68905,1.00153,0.80993,0.95028,0.00091248,0.00091248,0.00091248
8,34.3445,1.22544,0.96103,0.99851,0.91403,0.98969,0.96669,0.66051,1.06386,0.90231,0.98368,0.00103648,0.00103648,0.00103648
9,36.3944,1.14186,0.95597,1.0289,0.92279,0.98969,0.96103,0.65293,1.06698,0.868,0.96916,0.00115816,0.00115816,0.00115816
10,38.6912,1.05635,0.85223,0.99285,0.91427,0.98953,0.96012,0.69498,0.956,0.77833,0.94967,0.00127753,0.00127753,0.00127753
11,40.7655,1.09661,0.92429,0.99936,0.91333,0.97778,0.96175,0.64414,1.17786,0.76967,0.99982,0.0013946,0.0013946,0.0013946
12,42.8596,1.14405,0.8682,1.02416,0.91245,1,0.96456,0.70581,0.98728,0.82456,0.93047,0.00150935,0.00150935,0.00150935
13,44.9577,1.22872,0.9271,1.06608,0.91493,0.99789,0.95538,0.68139,0.98766,0.83317,0.93296,0.0016218,0.0016218,0.0016218
14,46.9252,1.13656,0.90641,0.9893,0.91493,0.99789,0.95538,0.68139,0.98766,0.83317,0.93296,0.00173194,0.00173194,0.00173194
15,49.0264,1.17852,0.85885,0.96224,0.92263,0.98345,0.94485,0.60975,1.13767,0.79524,0.98536,0.001769,0.001769,0.001769
16,51.0956,1.12238,0.84986,0.99071,0.91405,1,0.9422,0.61083,1.11595,0.77694,0.97852,0.0017525,0.0017525,0.0017525
17,53.1996,1.21852,1.07381,1.01326,0.90555,0.98841,0.92178,0.63189,1.00757,0.74639,0.94692,0.001736,0.001736,0.001736
18,55.2653,1.1187,0.79981,0.97934,0.91161,0.97938,0.93521,0.66201,1.0228,0.73148,0.94774,0.0017195,0.0017195,0.0017195
19,57.5363,1.11654,0.8167,0.98879,0.91048,0.96907,0.9512,0.70774,0.92229,0.68874,0.93039,0.001703,0.001703,0.001703
20,59.6452,1.10047,0.85254,0.98344,0.92199,0.97472,0.95023,0.64486,1.08857,0.73382,0.98542,0.0016865,0.0016865,0.0016865
21,61.6563,0.92882,3.91517,0.83403,0.93117,0.97636,0.95259,0.659,1.06014,0.72457,0.9761,0.00167,0.00167,0.00167
22,63.7198,1.06932,0.90428,1.01303,0.93117,0.97636,0.95259,0.659,1.06014,0.72457,0.9761,0.0016535,0.0016535,0.0016535
23,65.7526,1.08541,0.79699,0.99723,0.93126,0.97775,0.94757,0.66214,1.06245,0.71585,0.99303,0.001637,0.001637,0.001637
24,67.9197,1.13764,0.76821,0.99435,0.92215,0.97698,0.95282,0.66932,1.03955,0.68013,0.98316,0.0016205,0.0016205,0.0016205
25,69.9901,1.11027,0.7759,0.99403,0.92037,0.97938,0.95752,0.64874,1.1379,0.68712,1.01695,0.001604,0.001604,0.001604
26,72.0567,1.04281,0.74429,0.98868,0.92206,0.97578,0.94901,0.71064,0.9116,0.65402,0.95379,0.0015875,0.0015875,0.0015875
27,74.3189,0.99639,0.78115,0.9761,0.93115,0.96907,0.95649,0.73991,0.87989,0.64428,0.94107,0.001571,0.001571,0.001571
28,76.3468,1.08241,0.77252,1.00202,0.91426,0.98939,0.96716,0.68821,1.02248,0.6608,0.96475,0.0015545,0.0015545,0.0015545
29,78.4397,1.05128,0.76625,0.97657,0.91269,0.98969,0.96376,0.71434,0.9283,0.64044,0.93983,0.001538,0.001538,0.001538
30,80.4804,1.0345,0.82793,0.98818,0.91269,0.98969,0.96376,0.71434,0.9283,0.64044,0.93983,0.0015215,0.0015215,0.0015215
31,82.526,1.00512,0.72182,0.97552,0.91346,0.98969,0.95549,0.71837,0.92699,0.63238,0.93941,0.001505,0.001505,0.001505
32,84.6766,0.93664,0.69165,0.97243,0.90634,0.99766,0.95905,0.70216,0.9284,0.63087,0.93525,0.0014885,0.0014885,0.0014885
33,86.6391,1.04136,0.72165,0.98235,0.91398,0.98969,0.95894,0.71475,0.90652,0.61425,0.92978,0.001472,0.001472,0.001472
34,88.8132,1.06533,0.76306,0.99165,0.91479,0.99613,0.96047,0.72247,0.87957,0.59397,0.91855,0.0014555,0.0014555,0.0014555
35,90.8837,1.02386,0.68936,0.93941,0.91494,0.99805,0.96837,0.68235,1.05958,0.63775,0.96574,0.001439,0.001439,0.001439
36,92.9949,1.11729,0.69028,0.97176,0.91508,0.99986,0.96768,0.68027,1.03497,0.65527,0.96205,0.0014225,0.0014225,0.0014225
37,95.0938,1.15618,0.80713,1.03271,0.91446,1,0.95941,0.68952,0.92866,0.64272,0.92278,0.001406,0.001406,0.001406
38,97.1268,1.09153,0.71736,0.97419,0.91446,1,0.95941,0.68952,0.92866,0.64272,0.92278,0.0013895,0.0013895,0.0013895
39,99.2059,1.15442,0.75662,0.99434,0.91441,1,0.95792,0.68305,0.94091,0.64637,0.92947,0.001373,0.001373,0.001373
40,101.229,1.0037,0.72698,0.96146,0.91493,0.99785,0.96358,0.672,1.00449,0.64748,0.95292,0.0013565,0.0013565,0.0013565
41,103.25,0.97369,0.69894,0.95146,0.91401,1,0.96189,0.70608,0.95389,0.61397,0.93727,0.00134,0.00134,0.00134
42,105.353,0.97269,0.64054,0.96087,0.91408,1,0.97275,0.69911,0.95407,0.6166,0.93111,0.0013235,0.0013235,0.0013235
43,107.455,1.07769,0.65898,0.96995,0.91356,1,0.96816,0.71261,0.91635,0.60306,0.92438,0.001307,0.001307,0.001307
44,109.535,0.96984,0.63655,0.94546,0.90546,1,0.9609,0.69201,0.98966,0.6092,0.94487,0.0012905,0.0012905,0.0012905
45,111.696,0.98596,0.66324,0.95116,0.9144,1,0.95781,0.68182,1.00355,0.59455,0.9445,0.001274,0.001274,0.001274
46,113.682,1.07983,0.71974,1.01832,0.9144,1,0.95781,0.68182,1.00355,0.59455,0.9445,0.0012575,0.0012575,0.0012575
47,115.774,0.97642,0.66756,0.99153,0.91372,1,0.95754,0.7149,0.86751,0.57643,0.91452,0.001241,0.001241,0.001241
48,117.848,0.94292,0.63852,0.93833,0.91418,1,0.94493,0.6831,0.91353,0.5706,0.93156,0.0012245,0.0012245,0.0012245
49,119.987,0.99148,0.64741,0.98119,0.91378,1,0.94434,0.6616,0.99524,0.58107,0.94747,0.001208,0.001208,0.001208
50,122.056,0.94379,0.63124,0.93908,0.91366,1,0.95058,0.68923,0.95541,0.56602,0.93567,0.0011915,0.0011915,0.0011915
51,124.056,0.9757,0.61403,0.94879,0.9127,1,0.95244,0.71217,0.86996,0.54762,0.91272,0.001175,0.001175,0.001175
