epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4,4.37701,16.6021,3.25212,0,0,0,0,5.11631,10.6934,3.57217,6e-05,6e-05,6e-05
2,12.044,4.02891,9.68052,3.11645,0.00222,1,0.00925,0.0045,2.40997,5.19651,1.99568,0.000138845,0.000138845,0.000138845
3,13.7714,3.20665,9.07665,2.36941,0.00222,1,0.06366,0.02385,2.23648,5.1203,1.8691,0.00021637,0.00021637,0.00021637
4,15.4217,2.37526,6.26898,1.83131,0.00222,1,0.50458,0.1345,1.9251,4.6642,1.69486,0.000292575,0.000292575,0.000292575
5,16.9385,1.9014,4.08494,1.46092,0.00222,1,0.29207,0.07884,2.27084,4.82144,2.35283,0.00036746,0.00036746,0.00036746
6,18.4986,1.89766,4.50461,1.45423,0.00222,1,0.38743,0.0883,2.1055,4.87415,2.69501,0.000441025,0.000441025,0.000441025
7,20.0631,1.69951,3.46374,1.40208,0.00222,1,0.16351,0.0618,2.54641,4.68587,4.67148,0.00051327,0.00051327,0.00051327
8,21.5938,1.71166,3.30588,1.28044,0.00222,1,0.1243,0.03913,2.47794,5.30088,1.96066,0.000584195,0.000584195,0.000584195
9,23.1162,1.94241,4.07045,1.38057,0.06045,0.5,0.0553,0.01418,3.07354,5.73197,2.59823,0.0006538,0.0006538,0.0006538
10,24.7029,1.98785,3.64698,1.46024,0.06534,0.33333,0.09914,0.02301,2.80329,6.58542,2.5576,0.000722085,0.000722085,0.000722085
11,26.213,1.78942,3.54587,1.37353,0.26518,0.66667,0.34788,0.14804,1.93882,5.11418,4.18358,0.00078905,0.00078905,0.00078905
12,27.7713,1.46453,3.35095,1.21535,0.19839,0.83333,0.37935,0.13544,2.31855,5.21518,3.41316,0.000854695,0.000854695,0.000854695
13,29.3621,1.57365,3.8135,1.23623,0.79602,0.83333,0.83977,0.33565,2.00335,4.23658,2.67132,0.00091902,0.00091902,0.00091902
14,30.7848,1.58286,4.61221,1.23785,0.69733,0.33333,0.77344,0.27917,2.01487,4.12678,2.51712,0.000982025,0.000982025,0.000982025
15,32.2202,1.65521,3.44536,1.26773,0.44424,0.66667,0.66957,0.2089,2.45178,4.12642,3.03444,0.00104371,0.00104371,0.00104371
16,33.7024,1.69942,3.70105,1.27842,0.44424,0.66667,0.66957,0.2089,2.45178,4.12642,3.03444,0.00110407,0.00110407,0.00110407
17,35.1412,1.57088,3.07051,1.21598,0.60936,0.78466,0.82833,0.25146,2.00992,3.77574,2.74109,0.00116312,0.00116312,0.00116312
18,36.589,1.66378,2.70752,1.13354,0.73572,1,0.84333,0.35393,1.66987,3.60604,2.01071,0.00122085,0.00122085,0.00122085
19,38.0193,1.44821,3.02997,1.09379,0.73572,1,0.84333,0.35393,1.66987,3.60604,2.01071,0.00127725,0.00127725,0.00127725
20,39.6349,1.57352,3.19079,1.17874,0.85611,0.83333,0.97214,0.48098,1.6995,3.80089,1.79343,0.00133234,0.00133234,0.00133234
21,41.1169,1.66051,3.21412,1.19293,0.72619,0.66667,0.74212,0.33092,2.26697,3.97507,2.23711,0.0013861,0.0013861,0.0013861
22,42.5558,1.76332,3.00812,1.20368,0.72619,0.66667,0.74212,0.33092,2.26697,3.97507,2.23711,0.00143855,0.00143855,0.00143855
23,44.1351,1.65591,3.03533,1.24705,0.81345,0.83333,0.83729,0.35872,1.91102,3.82163,2.01073,0.00148967,0.00148967,0.00148967
24,45.6416,1.55238,3.04655,1.24751,0.81345,0.83333,0.83729,0.35872,1.91102,3.82163,2.01073,0.00153947,0.00153947,0.00153947
25,47.1579,1.46782,3.55493,1.20368,0.60002,0.66667,0.71956,0.35117,1.88524,3.82402,2.05204,0.00158796,0.00158796,0.00158796
26,48.6624,1.64277,2.71626,1.13721,0.60002,0.66667,0.71956,0.35117,1.88524,3.82402,2.05204,0.0015875,0.0015875,0.0015875
27,50.1597,1.6026,3.18398,1.14782,0.38474,0.5,0.43551,0.26941,1.68948,3.70756,1.88569,0.001571,0.001571,0.001571
28,51.5574,1.60189,3.82333,1.2218,0.38474,0.5,0.43551,0.26941,1.68948,3.70756,1.88569,0.0015545,0.0015545,0.0015545
29,53.0164,1.46231,3.10146,1.10452,1,0.63239,0.8931,0.30223,2.01579,3.26319,2.3185,0.001538,0.001538,0.001538
30,54.5317,1.34261,2.71521,1.15815,1,0.63239,0.8931,0.30223,2.01579,3.26319,2.3185,0.0015215,0.0015215,0.0015215
31,56.0227,1.4778,2.54721,1.17738,0.73554,1,0.90071,0.33858,1.93318,3.05325,2.1531,0.001505,0.001505,0.001505
32,57.4922,1.48466,2.90766,1.12211,0.73554,1,0.90071,0.33858,1.93318,3.05325,2.1531,0.0014885,0.0014885,0.0014885
33,59.0174,1.45316,2.77076,1.1612,0.84462,1,0.97214,0.36375,1.87498,3.07815,2.10164,0.001472,0.001472,0.001472
34,60.5648,1.45531,2.50849,1.13264,0.84462,1,0.97214,0.36375,1.87498,3.07815,2.10164,0.0014555,0.0014555,0.0014555
35,62.0731,1.37938,2.50561,1.08769,0.80972,0.83333,0.72459,0.27236,2.34306,3.26986,2.47238,0.001439,0.001439,0.001439
36,63.5644,1.41796,2.58802,1.14731,0.80972,0.83333,0.72459,0.27236,2.34306,3.26986,2.47238,0.0014225,0.0014225,0.0014225
37,65.1697,1.3522,2.59182,1.04566,0.77135,0.83333,0.69676,0.30836,2.10516,3.23335,2.31576,0.001406,0.001406,0.001406
38,66.6423,1.37633,2.43177,1.0562,0.77135,0.83333,0.69676,0.30836,2.10516,3.23335,2.31576,0.0013895,0.0013895,0.0013895
39,68.1842,1.29276,2.4441,1.11245,0.8208,0.83333,0.80871,0.49957,1.81758,3.00994,2.10394,0.001373,0.001373,0.001373
40,69.7584,1.5552,2.21869,1.09271,0.8208,0.83333,0.80871,0.49957,1.81758,3.00994,2.10394,0.0013565,0.0013565,0.0013565
41,71.5675,1.38617,2.20039,1.08261,0.8304,0.83333,0.83617,0.49545,1.64798,2.86167,2.04858,0.00134,0.00134,0.00134
42,73.205,1.3622,2.44808,1.07679,0.8304,0.83333,0.83617,0.49545,1.64798,2.86167,2.04858,0.0013235,0.0013235,0.0013235
43,74.7195,1.32552,2.15189,1.07016,0.79772,1,0.94786,0.42863,1.7606,2.65135,2.01087,0.001307,0.001307,0.001307
44,76.1677,1.48872,2.17797,1.08468,0.79772,1,0.94786,0.42863,1.7606,2.65135,2.01087,0.0012905,0.0012905,0.0012905
45,77.5608,1.5096,2.35458,1.12333,1,0.82314,0.8414,0.40806,1.86345,2.58491,2.31415,0.001274,0.001274,0.001274
46,78.9674,1.40892,2.15225,1.09314,1,0.82314,0.8414,0.40806,1.86345,2.58491,2.31415,0.0012575,0.0012575,0.0012575
47,80.4513,1.41051,2.38891,1.07263,0.79538,0.66667,0.70264,0.2519,2.33788,2.83187,1.92001,0.001241,0.001241,0.001241
48,81.9815,1.42712,2.09114,1.07184,0.79538,0.66667,0.70264,0.2519,2.33788,2.83187,1.92001,0.0012245,0.0012245,0.0012245
49,83.4083,1.40255,1.96656,1.12691,0.94852,0.83333,0.84153,0.2837,2.14389,2.78719,1.71908,0.001208,0.001208,0.001208
